"AI catastrophe","AI extinction","Nuclear catastrophe","Nuclear extinction","Non-anthropogenic catastrophe","Non-anthropogenic extinction","Total catastrophic risk","Total extinction risk"
1,1,10,1,1,1,16,3
1,2,6,6,10,6,18,10
3,1,5,2,0.4,0.1,10,3
5,5,8,5,8,2,5,3
3,3,5,1,1e-04,0.001,0.1,0.2
5,0,7,3,1,1,4,1
3,0.5,20,0.4,0.3,0.3,14,6
5,2,10,10,9,25,19,10
678,2849,267,5787,1267,1657,7992,879
1,0,0.5,0.001,0.2,1e-05,0.001,1e-05
2,1,10,0.5,0.01,0.001,17,8
50,50,75,70,30,60,80,65
0,0,3,1,1,0,1,0
0,0,5,0,0,0,2,0
10,4,8,0.5,0.1,0.01,20,10
0.03,0.003,10,0.5,0.005,4e-04,12,0.55
5,6,8,5,4,5,4,8
7,4,30,25,15,10,45,35
13,20,24,11,10,17,12,14
2,2,8,8,4,4,5,5
5,0.4,0.05,0.1,0.004,0.008,2,0.9
1e-05,1e-06,1e-05,1e-06,1e-07,5e-08,1.8e-06,1.8e-07
10,10,0,0,0,0,5,0
1,1,1,1,3,2,2,9
15,25,15,9,7,6,25,19
2,2,0,0,0,0,0,0
2.5,1,35,2,1.5,0.001,11,3.5
18,35,20,20,25,27,21,20
15,0,70,60,65,50,75,50
2e-05,2e-06,0.001,1e-05,0.002,0.004,0.01,0.04
0.5,5e-04,1,0.07,0.2,0.008,5,0.09
8,3,2,2,0.03,0.03,1.2,1
4,2,16,7,9,6,17,10
1,1,5,1,2,1,7,7
0.02,0,3,0.3,0.01,0,3.1,0.31
1,0.05,10,5,0.25,0.25,5,1
5,7,3,3,2,7,2,1
5.5,5,4,1,0.5,0.05,31,16
5.5,3,20,10,3,0,9,2
10,5,5,0.1,0.001,1e-04,10,5
7,3,10,2,0.05,0.01,30,7
10,7,70,31,75,45,34,49
10,10,25,14,0.15,5,19,16
1,0,20,6,5,1,10,1
1,2,15,20,5,5,3,5
5,0,50,50,8,5,20,5
3,1,35,15,50,5,90,9
0.04,2e-04,0.01,1e-04,0.1,5e-04,1,0.01
15,12,35,55,22,33,55,54
1,1,1,1,1,0,0.5,0.1
3,3,30,10,3,0.5,12,10
1,0,5,0,0,0,0.1,0.005
5,3,10,10,5,3,45,15
5,1,15,1,0.3,0.009,12,1.5
0.2,0,0.02,0,0.6,0,0.22,0
3,1,0.03,0.01,1,0.56,9,3
5e-05,5e-07,1e-04,1e-06,1e-05,1e-07,1e-04,1e-06
25,10,10,39,15,19,18,10
2,0.3,2,0.25,0.05,0.01,5,3
5,5,10,10,1,10,17,12
0.5,0.5,0.5,0.1,0.018,0.09,0.5,0.5
3,1,8,1,0.1,0,5,0
23,18,75,73,20,16,79,48
39,4,51,4,21,3,58,4
0.002,0.1,1.3,1,8,0.2,12,1
89,70,80,85,80,80,50,50
0,0,8,1,7,0.15,7,0.03
22,10,12,12,2,1,1,1
0.1,0.001,20,0.2,3,0.1,8,0.05
5,5,5,0.05,0.04,0.01,27,10
20,8,35,17,10,5,35,6
5,2,10,3,1,1,15,9
33,5,10,2,0.1,0.1,20,0.1
15,10,70,70,5,0.5,45,45
20,15,25,20,5,2,15,10
0,0,10,0,1,0,2,1
2,1,4,1,0.05,0.05,0.5,0.05
3,1,25,18,0,0,12,5
5,5,7,0.01,1,0.56,2,1
2,0.5,0.5,0.01,0.02,0.01,2,0.5
50,50,50,50,50,50,50,50
0,0,1,0,0,0,0,0
0.01,0.08,10,10,15,10,30,25
5,1,20,15,20,3,50,15
20,20,50,50,75,50,90,25
5,5,30,0.5,0.5,0.01,5,0.5
0.1,0.5,40,0,40,17,70,70
20,0,40,6,15,0,40,6
0.5,0.4,80,30,3,1.5,25,20
60,20,100,50,0.5,0.5,50,5
5,1.9,9,1,0.1,0.001,50,1
6,3,55,40,10,7,20,15
10,0,15,0.01,0.001,0,35,5
13,15,18,18,11,11,18,18
3,3,0.01,5,1,3,4,3
15,10,25,29,30,39,25,20
99,90,70,100,20,25,50,60
60,56,50,50,2,2,87,20
5,1,25,1,3,0,27,2
2,1,45,2,0.2,0.25,40,3
0.5,0.2,2,1,0.2,0.1,10,2
5,5,35,20,35,30,9,30
5,0.5,20,0.5,0.5,0.01,10,3
0,0,5,2,2,1,2,1
0,0,10,0.1,1,0.001,11.11,0.2
10,10,5,10,1,0.5,2,8
50,60,90,50,10,10,100,10
9,5,25,20,5,7,15,18
2,2,44,89,6,1,55,42
20,14,20,40,10,13,13,8
0,0,15,20,3,3,27,21
50000,0,5e+05,0,50000,0,5e+05,0
55,45,32,34,32,35,34,32
1,0.1,3,0.5,1,0.1,3,2
